Plate,Time,Plate_replicate,Well,Well_replicate,Type,Abs
P_1032,15,B,E12,B,Blank,0.13694
P_1032,15,B,F7,B,Unknown,2.7452
P_1032,15,B,F8,B,Unknown,2.6137
P_1032,15,B,F9,B,Unknown,1.3103
P_1032,15,B,F10,B,Unknown,1.6915
P_1032,15,B,F11,B,Unknown,1.5301
P_1032,15,B,F12,B,Negative,0.13267
P_1032,15,B,G7,B,Unknown,2.7605
P_1032,15,B,G8,B,Unknown,1.7124
P_1032,15,B,G9,B,Unknown,1.5941
P_1032,15,B,G10,B,Unknown,1.8832
P_1032,15,B,G11,B,Unknown,2.4345
P_1032,15,B,G12,B,Positive,2.3332
P_1032,15,B,H7,B,Unknown,2.7322
P_1032,15,B,H8,B,Unknown,0.72508
P_1032,15,B,H9,B,Unknown,2.5126
P_1032,15,B,H10,B,Unknown,1.5133
P_1032,15,B,H11,B,Unknown,2.4201
P_1032,15,B,H12,B,Positive,2.3851
P_1032,15,C,A1,A,Unknown,1.2234
P_1032,15,C,A2,A,Unknown,1.7964
P_1032,15,C,A3,A,Unknown,1.4839
P_1032,15,C,A4,A,Unknown,1.9591
P_1032,15,C,A5,A,Unknown,0.86078
P_1032,15,C,A6,A,Blank,0.079841
P_1032,15,C,B1,A,Unknown,0.65441
P_1032,15,C,B2,A,Unknown,1.7337
P_1032,15,C,B3,A,Unknown,0.88988
P_1032,15,C,B4,A,Unknown,1.5414
P_1032,15,C,B5,A,Unknown,0.9598
P_1032,15,C,B6,A,Blank,0.058252
P_1032,15,C,C1,A,Unknown,0.63016
P_1032,15,C,C2,A,Unknown,1.8252
P_1032,15,C,C3,A,Unknown,1.4279
P_1032,15,C,C4,A,Unknown,1.4454
P_1032,15,C,C5,A,Unknown,1.4178
P_1032,15,C,C6,A,Blank,0.060922
P_1032,15,C,D1,A,Unknown,1.9474
P_1032,15,C,D2,A,Unknown,1.8216
P_1032,15,C,D3,A,Unknown,1.7611
P_1032,15,C,D4,A,Unknown,1.3492
P_1032,15,C,D5,A,Unknown,0.2832
P_1032,15,C,D6,A,Blank,0.059929
P_1032,15,C,E1,A,Unknown,0.58178
P_1032,15,C,E2,A,Unknown,1.7711
P_1032,15,C,E3,A,Unknown,1.1337
P_1032,15,C,E4,A,Unknown,0.48449
P_1032,15,C,E5,A,Unknown,1.3232
P_1032,15,C,E6,A,Blank,0.090258
P_1032,15,C,F1,A,Unknown,2.4362
P_1032,15,C,F2,A,Unknown,2.1407
P_1032,15,C,F3,A,Unknown,1.0878
P_1032,15,C,F4,A,Unknown,1.1075
P_1032,15,C,F5,A,Unknown,1.1316
P_1032,15,C,F6,A,Negative,0.10009
P_1032,15,C,G1,A,Unknown,2.5197
P_1032,15,C,G2,A,Unknown,1.5178
P_1032,15,C,G3,A,Unknown,1.3285
P_1032,15,C,G4,A,Unknown,1.2311
P_1032,15,C,G5,A,Unknown,1.7879
P_1032,15,C,G6,A,Positive,1.9608
P_1032,15,C,H1,A,Unknown,2.5395
P_1032,15,C,H2,A,Unknown,0.64124
P_1032,15,C,H3,A,Unknown,2.4475
P_1032,15,C,H4,A,Unknown,1.1979
P_1032,15,C,H5,A,Unknown,1.8981
P_1032,15,C,H6,A,Positive,2.115
P_1032,15,C,A7,B,Unknown,1.0397
P_1032,15,C,A8,B,Unknown,1.7069
P_1032,15,C,A9,B,Unknown,1.3967
P_1032,15,C,A10,B,Unknown,1.9286
P_1032,15,C,A11,B,Unknown,0.69924
P_1032,15,C,A12,B,Blank,0.065954
P_1032,15,C,B7,B,Unknown,0.50814
P_1032,15,C,B8,B,Unknown,1.6853
P_1032,15,C,B9,B,Unknown,0.90936
P_1032,15,C,B10,B,Unknown,1.5629
P_1032,15,C,B11,B,Unknown,0.87493
P_1032,15,C,B12,B,Blank,0.066996
P_1032,15,C,C7,B,Unknown,0.42344
P_1032,15,C,C8,B,Unknown,1.5817
P_1032,15,C,C9,B,Unknown,1.416
P_1032,15,C,C10,B,Unknown,1.313
P_1032,15,C,C11,B,Unknown,1.3262
P_1032,15,C,C12,B,Blank,0.072258
P_1032,15,C,D7,B,Unknown,1.4298
P_1032,15,C,D8,B,Unknown,1.4255
P_1032,15,C,D9,B,Unknown,1.7225
P_1032,15,C,D10,B,Unknown,1.6309
P_1032,15,C,D11,B,Unknown,0.2681
P_1032,15,C,D12,B,Blank,0.062893
P_1032,15,C,E7,B,Unknown,0.37735
P_1032,15,C,E8,B,Unknown,1.4436
P_1032,15,C,E9,B,Unknown,1.1956
P_1032,15,C,E10,B,Unknown,0.50649
P_1032,15,C,E11,B,Unknown,1.1509
P_1032,15,C,E12,B,Blank,0.073853
P_1032,15,C,F7,B,Unknown,2.0748
P_1032,15,C,F8,B,Unknown,1.9511
P_1032,15,C,F9,B,Unknown,0.91754
P_1032,15,C,F10,B,Unknown,1.0081
P_1032,15,C,F11,B,Unknown,0.78034
P_1032,15,C,F12,B,Negative,0.10701
P_1032,15,C,G7,B,Unknown,2.141
P_1032,15,C,G8,B,Unknown,1.2543
P_1032,15,C,G9,B,Unknown,1.1825
P_1032,15,C,G10,B,Unknown,1.0581
P_1032,15,C,G11,B,Unknown,1.8518
P_1032,15,C,G12,B,Positive,1.9516
P_1032,15,C,H7,B,Unknown,2.1935
P_1032,15,C,H8,B,Unknown,0.51326
P_1032,15,C,H9,B,Unknown,2.0267
P_1032,15,C,H10,B,Unknown,0.92088
P_1032,15,C,H11,B,Unknown,1.86
P_1032,15,C,H12,B,Positive,1.9224
P_1032,15,D,A1,A,Unknown,1.5846
P_1032,15,D,A2,A,Unknown,2.3987
P_1032,15,D,A3,A,Unknown,2.1975
P_1032,15,D,A4,A,Unknown,3.1468
P_1032,15,D,A5,A,Unknown,1.5894
P_1032,15,D,A6,A,Blank,0.10697
P_1032,15,D,B1,A,Unknown,0.72102
P_1032,15,D,B2,A,Unknown,2.1483
P_1032,15,D,B3,A,Unknown,1.4394
P_1032,15,D,B4,A,Unknown,2.4976
P_1032,15,D,B5,A,Unknown,1.5077
P_1032,15,D,B6,A,Blank,0.066779
P_1032,15,D,C1,A,Unknown,0.6997
P_1032,15,D,C2,A,Unknown,2.1922
P_1032,15,D,C3,A,Unknown,1.8582
P_1032,15,D,C4,A,Unknown,2.2174
P_1032,15,D,C5,A,Unknown,2.0021
P_1032,15,D,C6,A,Blank,0.067034
P_1032,15,D,D1,A,Unknown,2.2554
P_1032,15,D,D2,A,Unknown,2.0707
P_1032,15,D,D3,A,Unknown,2.3469
P_1032,15,D,D4,A,Unknown,2.1172
P_1032,15,D,D5,A,Unknown,0.41081
P_1032,15,D,D6,A,Blank,0.065581
P_1032,15,D,E1,A,Unknown,0.66177
P_1032,15,D,E2,A,Unknown,2.2611
P_1032,15,D,E3,A,Unknown,1.6499
P_1032,15,D,E4,A,Unknown,0.8442
P_1032,15,D,E5,A,Unknown,1.789
P_1032,15,D,E6,A,Blank,0.076104
P_1032,15,D,F1,A,Unknown,2.6751
P_1032,15,D,F2,A,Unknown,2.6517
P_1032,15,D,F3,A,Unknown,1.4815
P_1032,15,D,F4,A,Unknown,1.7071
P_1032,15,D,F5,A,Unknown,1.5336
P_1032,15,D,F6,A,Negative,0.10831
P_1032,15,D,G1,A,Unknown,2.5125
P_1032,15,D,G2,A,Unknown,2.0369
