Plate_replicate,Well_replicate,Type,Outcome,Well,Abs
C,B,Blank,Not detected,E6/E12,0.059476
C,B,Negative,Not detected,F6/F12,0.09118
C,B,Positive,Not detected,G6/G12,2.3846
C,B,Positive,Not detected,H6/H12,2.3449
D,A,Unknown,Not detected,A1/A7,0.11185
D,A,Unknown,Not detected,B1/B7,0.077555
D,A,Unknown,Not detected,C1/C7,0.11962
D,A,Unknown,Not detected,D1/D7,0.083584
D,A,Unknown,Not detected,E1/E7,0.089442
D,A,Unknown,Not detected,F1/F7,0.072736
D,A,Unknown,Not detected,G1/G7,0.087767
D,A,Unknown,Not detected,H1/H7,0.095962
D,A,Unknown,Not detected,A2/A8,0.14063
D,A,Unknown,Not detected,B2/B8,0.077908
D,A,Unknown,Not detected,C2/C8,0.085072
D,A,Unknown,Not detected,D2/D8,0.07979
D,A,Unknown,Not detected,E2/E8,0.43014
D,A,Unknown,Not detected,F2/F8,0.14274
D,A,Unknown,Not detected,G2/G8,0.1119
D,A,Unknown,Not detected,H2/H8,0.10183
D,A,Unknown,Not detected,A3/A9,0.083031
D,A,Unknown,Not detected,B3/B8,0.085203
D,A,Unknown,Not detected,C3/C9,0.10364
D,A,Unknown,Not detected,D3/D9,0.091306
D,A,Unknown,Not detected,E3/E9,0.089877
D,A,Unknown,Not detected,F3/F9,0.10173
D,A,Unknown,Not detected,G3/G9,0.078115
D,A,Unknown,Not detected,H3/H9,0.062831
D,A,Unknown,Not detected,A4/A10,0.080972
D,A,Unknown,Not detected,B4/B10,0.089063
D,A,Unknown,Not detected,C4/C10,0.13031
D,A,Unknown,Not detected,D4/D10,0.085965
D,A,Unknown,Not detected,E4/E10,0.076059
D,A,Unknown,Not detected,F4/F10,0.12975
D,A,Unknown,Not detected,G4/G10,0.076011
D,A,Unknown,Not detected,H4/H10,0.082864
D,A,Unknown,Not detected,A5/A11,0.10909
D,A,Unknown,Not detected,B5/B11,0.074921
D,A,Unknown,Not detected,C5/C11,0.10209
D,A,Unknown,Not detected,D5/D11,0.075482
D,A,Unknown,Not detected,E5/E11,0.075074
D,A,Unknown,Not detected,F5/F11,0.087308
D,A,Unknown,Not detected,G5/G11,0.09209
D,A,Unknown,Not detected,H5/H11,0.12255
D,A,Blank,Not detected,A6/A12,0.065524
D,A,Blank,Not detected,B6/B12,0.062642
D,A,Blank,Not detected,C6/C12,0.062277
D,A,Blank,Not detected,D6/D12,0.06178
D,A,Blank,Not detected,E6/E12,0.062066
D,A,Negative,Not detected,F6/F12,0.094679
D,A,Positive,Not detected,G6/G12,2.4907
D,A,Positive,Not detected,H6/H12,2.5888
D,B,Unknown,Not detected,A1/A7,0.096445
D,B,Unknown,Not detected,B1/B7,0.077866
D,B,Unknown,Not detected,C1/C7,0.10237
D,B,Unknown,Not detected,D1/D7,0.073236
D,B,Unknown,Not detected,E1/E7,0.072922
D,B,Unknown,Not detected,F1/F7,0.071058
D,B,Unknown,Not detected,G1/G7,0.079889
D,B,Unknown,Not detected,H1/H7,0.089714
D,B,Unknown,Not detected,A2/A8,0.1261
D,B,Unknown,Not detected,B2/B8,0.080865
D,B,Unknown,Not detected,C2/C8,0.07654
D,B,Unknown,Not detected,D2/D8,0.075889
D,B,Unknown,Not detected,E2/E8,0.38232
D,B,Unknown,Not detected,F2/F8,0.14575
D,B,Unknown,Not detected,G2/G8,0.10846
D,B,Unknown,Not detected,H2/H8,0.098044
D,B,Unknown,Not detected,A3/A9,0.084915
D,B,Unknown,Not detected,B3/B8,0.092969
D,B,Unknown,Not detected,C3/C9,0.097908
D,B,Unknown,Not detected,D3/D9,0.090326
D,B,Unknown,Not detected,E3/E9,0.083109
D,B,Unknown,Not detected,F3/F9,0.098338
D,B,Unknown,Not detected,G3/G9,0.077611
D,B,Unknown,Not detected,H3/H9,0.062284
D,B,Unknown,Not detected,A4/A10,0.08596
D,B,Unknown,Not detected,B4/B10,0.083474
D,B,Unknown,Not detected,C4/C10,0.10994
D,B,Unknown,Not detected,D4/D10,0.082522
D,B,Unknown,Not detected,E4/E10,0.082393
D,B,Unknown,Not detected,F4/F10,0.12862
D,B,Unknown,Not detected,G4/G10,0.077991
D,B,Unknown,Not detected,H4/H10,0.079965
D,B,Unknown,Not detected,A5/A11,0.10169
D,B,Unknown,Not detected,B5/B11,0.077026
D,B,Unknown,Not detected,C5/C11,0.098406
D,B,Unknown,Not detected,D5/D11,0.074455
D,B,Unknown,Not detected,E5/E11,0.077246
D,B,Unknown,Not detected,F5/F11,0.084405
D,B,Unknown,Not detected,G5/G11,0.090034
D,B,Unknown,Not detected,H5/H11,0.11679
D,B,Blank,Not detected,A6/A12,0.06049
D,B,Blank,Not detected,B6/B12,0.066056
D,B,Blank,Not detected,C6/C12,0.066445
D,B,Blank,Not detected,D6/D12,0.06412
D,B,Blank,Not detected,E6/E12,0.061182
D,B,Negative,Not detected,F6/F12,0.08692
D,B,Positive,Not detected,G6/G12,2.3483
D,B,Positive,Not detected,H6/H12,2.4335
E,A,Unknown,Not detected,A1/A7,0.11013
E,A,Unknown,Not detected,B1/B7,0.092803
E,A,Unknown,Not detected,C1/C7,0.15907
E,A,Unknown,Not detected,D1/D7,0.09452
E,A,Unknown,Not detected,E1/E7,0.081926
E,A,Unknown,Not detected,F1/F7,0.086778
E,A,Unknown,Not detected,G1/G7,0.10268
E,A,Unknown,Not detected,H1/H7,0.098763
E,A,Unknown,Not detected,A2/A8,0.13749
E,A,Unknown,Not detected,B2/B8,0.072792
E,A,Unknown,Not detected,C2/C8,0.083171
E,A,Unknown,Not detected,D2/D8,0.076274
E,A,Unknown,Not detected,E2/E8,0.51626
E,A,Unknown,Not detected,F2/F8,0.13923
E,A,Unknown,Not detected,G2/G8,0.084554
E,A,Unknown,Not detected,H2/H8,0.084439
E,A,Unknown,Not detected,A3/A9,0.10204
E,A,Unknown,Not detected,B3/B8,0.080882
E,A,Unknown,Not detected,C3/C9,0.092659
E,A,Unknown,Not detected,D3/D9,0.096827
E,A,Unknown,Not detected,E3/E9,0.092933
E,A,Unknown,Not detected,F3/F9,0.088585
E,A,Unknown,Not detected,G3/G9,0.072527
E,A,Unknown,Not detected,H3/H9,0.063097
E,A,Unknown,Not detected,A4/A10,0.081798
E,A,Unknown,Not detected,B4/B10,0.070453
E,A,Unknown,Not detected,C4/C10,0.1478
E,A,Unknown,Not detected,D4/D10,0.07557
E,A,Unknown,Not detected,E4/E10,0.071244
E,A,Unknown,Not detected,F4/F10,0.1362
E,A,Unknown,Not detected,G4/G10,0.082305
E,A,Unknown,Not detected,H4/H10,0.081112
E,A,Unknown,Not detected,A5/A11,0.15792
E,A,Unknown,Not detected,B5/B11,0.078251
E,A,Unknown,Not detected,C5/C11,0.10538
E,A,Unknown,Not detected,D5/D11,0.073461
E,A,Unknown,Not detected,E5/E11,0.06935
E,A,Unknown,Not detected,F5/F11,0.093168
E,A,Unknown,Not detected,G5/G11,0.10581
E,A,Unknown,Not detected,H5/H11,0.1302
E,A,Blank,Not detected,A6/A12,0.066151
E,A,Blank,Not detected,B6/B12,0.06237
E,A,Blank,Not detected,C6/C12,0.061588
E,A,Blank,Not detected,D6/D12,0.060021
E,A,Blank,Not detected,E6/E12,0.064035
E,A,Negative,Not detected,F6/F12,0.11401
